"ID1,N,4,0","HHID,C,15","QHCLUSTER,N,4,0","QHNUMBER,N,3,0","QHHOME,N,2,0","QH91,N,1,0","QH93,N,1,0","QH95,N,1,0","QH96,N,2,0","QH96A,N,2,0","QH96M,N,2,0","QH96AC,N,1,0","QH97D,N,2,0","QH97M,N,2,0","QH97A,N,4,0","QH99,N,1,0","QH101,N,1,0","QH103,N,1,0","QH106,N,1,0","QHVIOLEN,N,2,0"
2019,      001806701,18,67,1,0,2,2,0,0,0,0,0,0,0,0,2,2,2,2
2019,      001807701,18,77,1,0,2,2,0,0,0,0,0,0,0,2,2,2,0,0
2019,      001808101,18,81,1,0,2,2,0,0,0,0,0,0,0,2,2,2,0,2
2019,      001901001,19,10,1,0,2,2,0,0,0,0,0,0,0,0,2,2,0,2
2019,      001901101,19,11,1,2,2,2,0,0,0,0,0,0,0,2,2,2,2,2
2019,      001901601,19,16,1,0,2,2,0,0,0,0,0,0,0,0,2,2,2,2
2019,      001902001,19,20,1,0,2,2,0,0,0,0,0,0,0,0,2,2,2,1
2019,      001902601,19,26,1,0,2,2,0,0,0,0,0,0,0,0,2,2,0,2
2019,      001905501,19,55,1,0,2,2,0,0,0,0,0,0,0,0,2,2,0,1
2019,      001906401,19,64,1,0,2,2,0,0,0,0,0,0,0,0,2,2,2,2
2019,      001907501,19,75,1,0,2,2,0,0,0,0,0,0,0,2,2,2,0,3
2019,      001907801,19,78,1,0,2,2,0,0,0,0,0,0,0,2,2,2,2,4
2019,      001910101,19,101,1,2,2,2,0,0,0,0,0,0,0,0,2,2,0,3
2019,      002006701,20,67,1,2,2,2,0,0,0,0,0,0,0,0,2,2,2,4
2019,      002006702,20,67,2,2,2,2,0,0,0,0,0,0,0,0,2,2,0,1
2019,      002009001,20,90,1,0,2,2,0,0,0,0,0,0,0,0,2,2,2,2
2019,      002012501,20,125,1,2,2,2,0,0,0,0,0,0,0,0,1,2,2,2
2019,      002012502,20,125,2,2,2,1,1,1,0,2,0,0,0,0,1,2,0,1
2019,      002013401,20,134,1,2,2,2,0,0,0,0,0,0,0,0,2,2,0,3
2019,      002014801,20,148,1,0,2,2,0,0,0,0,0,0,0,0,2,2,2,2
2019,      002015301,20,153,1,2,2,2,0,0,0,0,0,0,0,0,2,2,0,2
2019,      002019201,20,192,1,2,2,2,0,0,0,0,0,0,0,0,2,2,2,2
2019,      002019601,20,196,1,2,2,2,0,0,0,0,0,0,0,2,2,2,2,3
2019,      002025301,20,253,1,2,2,1,2,4,0,2,0,0,0,0,1,2,2,2
2019,      002100101,21,1,1,2,2,2,0,0,0,0,0,0,0,0,1,2,2,1
2019,      002101201,21,12,1,0,2,2,0,0,0,0,0,0,0,0,2,2,2,2
2019,      002105101,21,51,1,0,2,2,0,0,0,0,0,0,0,0,2,2,0,2
2019,      002105301,21,53,1,0,2,2,0,0,0,0,0,0,0,0,2,2,0,0
2019,      002105901,21,59,1,0,2,2,0,0,0,0,0,0,0,0,2,2,0,1
2019,      002114701,21,147,1,0,2,2,0,0,0,0,0,0,0,0,2,2,0,2
2019,      002117501,21,175,1,0,2,2,0,0,0,0,0,0,0,0,2,2,2,2
2019,      002117901,21,179,1,0,2,2,0,0,0,0,0,0,0,0,2,2,0,1
2019,      002200201,22,2,1,0,2,1,2,4,6,2,0,0,0,0,1,2,0,2
2019,      002200401,22,4,1,0,2,2,0,0,0,0,0,0,0,0,1,2,2,2
2019,      002202501,22,25,1,2,2,2,0,0,0,0,0,0,0,0,2,2,2,2
2019,      002204501,22,45,1,0,2,2,0,0,0,0,0,0,0,0,2,2,0,2
2019,      002205101,22,51,1,0,2,1,2,2,0,2,0,0,0,0,1,2,2,2
2019,      002206901,22,69,1,0,2,1,2,2,5,2,0,0,0,0,1,2,0,2
2019,      002207001,22,70,1,0,2,2,0,0,0,0,0,0,0,0,2,2,0,1
2019,      002210101,22,101,1,0,2,2,0,0,0,0,0,0,0,0,1,2,0,2
2019,      002211201,22,112,1,0,2,2,0,0,0,0,0,0,0,2,2,2,0,0
2019,      002211801,22,118,1,0,2,2,0,0,0,0,0,0,0,0,1,2,2,2
2019,      002301901,23,19,1,0,2,1,2,0,6,2,0,0,0,0,2,2,0,2
2019,      002303401,23,34,1,0,2,2,0,0,0,0,0,0,0,0,2,2,0,0
2019,      002303601,23,36,1,0,2,2,0,0,0,0,0,0,0,0,2,2,2,2
2019,      002304301,23,43,1,0,2,1,2,5,0,2,0,0,0,0,2,2,2,2
2019,      002305701,23,57,1,0,2,2,0,0,0,0,0,0,0,0,2,2,0,0
2019,      002307201,23,72,1,2,2,1,2,5,0,2,0,0,0,0,1,2,2,2
2019,      002308501,23,85,1,0,2,2,0,0,0,0,0,0,0,0,2,2,0,0
2019,      002310401,23,104,1,0,2,1,2,6,0,2,0,0,0,0,1,2,2,2
2019,      002310901,23,109,1,2,2,2,0,0,0,0,0,0,0,0,2,2,2,2
2019,      002311601,23,116,1,0,2,2,0,0,0,0,0,0,0,1,2,2,0,0
2019,      002400101,24,1,1,0,2,2,0,0,0,0,0,0,0,0,2,2,0,2
