qhcluster,qhnumber,qhhome,ps104_1a,ps104_1m,ps104_1s,ps5,hvidx,hhid
1201,46,1,2,3.0,si,1,1,      120104601
1201,46,1,2,3.0,no,2,4,      120104601
1210,113,1,0,2.0,,1,1,      121011301
1211,18,1,3,0.0,no,1,2,      121101801
1211,46,1,1,0.0,no,1,2,      121104601
1211,58,1,2,0.0,no,1,2,      121105801
1217,130,1,5,4.0,no,1,1,      121713001
1221,10,1,5,0.0,si,1,2,      122101001
1221,10,1,3,0.0,no,2,4,      122101001
1221,11,1,4,0.0,no,1,1,      122101101
1221,12,1,2,0.0,no,1,2,      122101201
1221,13,1,4,0.0,no,1,2,      122101301
1221,14,1,7,0.0,no,1,1,      122101401
1221,19,1,5,0.0,no,1,2,      122101901
1228,23,1,5,0.0,no,1,2,      122802301
1228,46,1,3,0.0,no,1,2,      122804601
1228,48,1,3,10.0,no,1,1,      122804801
1241,14,1,0,6.0,si,1,7,      124101401
1241,14,1,2,0.0,no,2,8,      124101401
1255,49,1,0,8.0,no,1,1,      125504901
1274,89,1,1,0.0,no,1,3,      127408901
1284,4,1,1,6.0,no,1,2,      128400401
1286,120,1,2,7.0,si,1,1,      128612001
1286,120,1,2,0.0,no,2,2,      128612001
1287,77,1,1,0.0,no,1,2,      128707701
1287,78,1,2,0.0,no,1,2,      128707801
1287,79,1,10,0.0,no,1,2,      128707901
1287,92,1,9,0.0,no,1,2,      128709201
1287,95,1,10,0.0,no,1,2,      128709501
1287,111,1,4,0.0,no,1,2,      128711101
1287,113,1,2,0.0,no,1,2,      128711301
1287,115,1,1,0.0,no,1,3,      128711501
1294,84,1,1,0.0,no,1,2,      129408401
1299,78,1,5,0.0,no,1,2,      129907801
1305,32,1,0,1.0,no,1,5,      130503201
1310,14,1,2,3.0,no,1,2,      131001401
1335,12,1,0,6.0,no,1,2,      133501201
1338,6,1,2,0.0,no,1,2,      133800601
1347,29,1,1,0.0,no,1,2,      134702901
1357,17,1,0,11.0,no,1,6,      135701701
1361,96,1,0,1.0,si,1,4,      136109601
1361,96,1,0,1.0,si,2,5,      136109601
1361,96,1,0,1.0,no,3,6,      136109601
1366,91,1,2,0.0,no,1,2,      136609101
1379,85,1,1,0.0,no,1,2,      137908501
1440,138,1,3,3.0,si,1,2,      144013801
1440,138,1,3,3.0,no,2,3,      144013801
1456,69,1,10,3.0,si,1,2,      145606901
1456,69,1,1,3.0,no,2,4,      145606901
1462,35,1,0,0.0,no,1,3,      146203501
1483,12,1,0,2.0,si,1,1,      148301201
1483,12,1,0,2.0,si,2,2,      148301201
1483,12,1,0,2.0,no,3,3,      148301201
1501,65,1,2,0.0,no,1,1,      150106501
1501,118,1,4,0.0,no,1,2,      150111801
1503,71,1,6,0.0,no,1,1,      150307101
1510,28,1,3,0.0,,1,1,      151002801
1524,74,1,2,0.0,no,1,2,      152407401
1525,2,1,12,0.0,no,1,2,      152500201
1525,3,1,10,0.0,si,1,1,      152500301
1525,3,1,10,0.0,no,2,2,      152500301
1525,4,1,1,4.0,no,1,2,      152500401
1525,11,1,3,0.0,si,1,1,      152501101
1525,11,1,3,0.0,no,2,2,      152501101
1525,144,1,1,5.0,no,1,2,      152514401
1525,145,1,7,0.0,no,1,2,      152514501
1538,97,1,1,0.0,si,1,4,      153809701
1538,97,1,1,0.0,si,2,5,      153809701
1538,97,1,1,0.0,no,3,6,      153809701
1559,73,1,0,1.0,no,1,2,      155907301
1564,76,1,7,0.0,no,1,2,      156407601
1568,93,1,0,2.0,si,1,4,      156809301
1568,93,1,0,2.0,no,2,5,      156809301
1577,63,1,2,0.0,no,1,2,      157706301
1577,64,1,1,0.0,si,1,3,      157706401
1577,64,1,1,0.0,no,2,4,      157706401
1577,65,1,2,2.0,si,1,1,      157706501
1577,65,1,2,2.0,si,2,4,      157706501
1577,65,1,2,2.0,no,3,5,      157706501
1577,66,1,1,0.0,no,1,2,      157706601
1577,67,1,1,2.0,si,1,1,      157706701
1577,67,1,1,2.0,si,2,2,      157706701
1577,67,1,1,2.0,no,3,3,      157706701
1577,71,1,2,2.0,si,1,2,      157707101
1577,71,1,2,2.0,no,2,4,      157707101
