qhcluster,qhnumber,qhhome,ps107_1a,ps107_1m,ps107_1s,ps6,hvidx,hhid
1473,36,1,0,5.0,,1,4,      147303601
1476,183,1,0,1.0,si,1,3,      147618301
1476,183,1,0,1.0,,2,4,      147618301
1477,10,1,0,11.0,,1,5,      147701001
1478,4,1,0,4.0,,1,7,      147800401
1478,36,1,0,7.0,,1,7,      147803601
1480,50,1,0,1.0,,1,4,      148005001
1486,13,1,0,4.0,no,1,3,      148601301
1486,103,1,0,4.0,,1,4,      148610301
1489,145,1,1,6.0,,1,5,      148914501
1491,27,1,0,2.0,,1,7,      149102701
1491,40,1,0,6.0,,1,6,      149104001
1492,63,1,0,8.0,si,1,5,      149206301
1492,63,1,0,8.0,,2,6,      149206301
1492,75,1,0,6.0,,1,10,      149207501
1499,3,1,0,6.0,si,1,4,      149900301
1499,3,1,0,0.0,,2,5,      149900301
1499,69,1,1,0.0,,1,7,      149906901
1499,93,1,0,4.0,,1,5,      149909301
1502,6,1,0,0.0,,1,5,      150200601
1503,28,1,0,3.0,,1,5,      150302801
1503,65,1,0,6.0,,1,4,      150306501
1505,35,2,0,4.0,,1,3,      150503502
1510,27,1,0,3.0,,1,4,      151002701
1511,43,1,0,6.0,,1,6,      151104301
1512,130,1,0,1.0,,1,7,      151213001
1515,51,1,0,0.0,,1,5,      151505101
1519,120,1,0,0.0,,1,2,      151912001
1520,20,1,0,1.0,,1,5,      152002001
1522,85,1,0,11.0,,1,5,      152208501
1524,173,1,1,2.0,,1,5,      152417301
1525,12,1,1,0.0,,1,4,      152501201
1525,143,1,1,6.0,,1,4,      152514301
1525,145,1,0,6.0,,1,6,      152514501
1526,37,1,0,2.0,,1,6,      152603701
1526,38,1,0,1.0,,1,3,      152603801
1526,102,2,0,1.0,,1,3,      152610202
1531,137,1,0,3.0,,1,5,      153113701
1533,94,1,0,6.0,,1,4,      153309401
1534,3,1,2,0.0,si,1,5,      153400301
1534,3,1,2,0.0,,2,6,      153400301
1535,109,1,1,1.0,,1,5,      153510901
1539,47,1,0,1.0,,1,3,      153904701
1539,63,1,0,2.0,,1,3,      153906301
1540,102,1,1,6.0,no,1,5,      154010201
1545,68,1,1,2.0,no,1,8,      154506801
1576,20,1,0,4.0,,1,4,      157602001
1592,12,1,0,7.0,,1,4,      159201201
1603,6,1,0,3.0,,1,8,      160300601
1607,66,1,1,10.0,,1,4,      160706601
1607,92,1,1,4.0,,1,4,      160709201
1607,128,1,0,3.0,,1,4,      160712801
1608,28,1,1,8.0,,1,4,      160802801
1620,12,1,1,0.0,,1,5,      162001201
1620,13,1,1,6.0,,1,4,      162001301
1620,60,1,1,0.0,,1,3,      162006001
1620,71,1,0,3.0,,1,7,      162007101
1634,76,1,0,3.0,,1,3,      163407601
1637,5,1,0,5.0,,1,5,      163700501
1637,26,1,1,4.0,,1,7,      163702601
1637,36,1,0,4.0,,1,5,      163703601
1637,39,1,1,0.0,,1,6,      163703901
1649,23,1,1,6.0,no,1,3,      164902301
1653,3,1,2,0.0,,1,4,      165300301
1653,52,1,1,8.0,,1,7,      165305201
1656,54,1,0,1.0,si,1,4,      165605401
1656,54,1,0,1.0,,2,5,      165605401
1661,87,1,1,1.0,,1,3,      166108701
