qhcluster,qhnumber,qhhome,ps100_1a,ps100_1m,ps100_1s,ps3,hvidx,hhid
547,96,1,2,0.0,no,1,2,      054709601
549,47,1,2,0.0,no,1,1,      054904701
549,65,1,1,8.0,si,1,1,      054906501
549,65,1,1,2.0,,2,2,      054906501
549,73,1,2,3.0,si,1,1,      054907301
549,73,1,2,3.0,,2,2,      054907301
550,9,1,0,6.0,,1,1,      055000901
550,26,1,1,5.0,si,1,5,      055002601
550,26,1,2,0.0,,2,6,      055002601
550,34,1,1,11.0,,1,1,      055003401
550,57,1,1,0.0,,1,1,      055005701
550,69,1,3,0.0,,1,5,      055006901
551,38,1,0,6.0,,1,5,      055103801
551,41,1,0,9.0,,1,1,      055104101
552,58,1,3,0.0,,1,1,      055205801
552,60,1,1,6.0,,1,1,      055206001
552,80,1,0,3.0,,1,1,      055208001
552,81,1,1,3.0,,1,4,      055208101
553,78,1,0,8.0,si,1,1,      055307801
553,78,1,3,0.0,,2,2,      055307801
553,85,1,1,0.0,,1,1,      055308501
555,51,1,2,2.0,si,1,1,      055505101
555,51,1,2,2.0,,2,2,      055505101
557,63,1,2,0.0,,1,3,      055706301
558,31,1,0,8.0,no,1,2,      055803101
558,35,1,1,0.0,,1,1,      055803501
558,62,1,1,5.0,,1,5,      055806201
560,5,1,1,0.0,,1,1,      056000501
560,25,1,2,6.0,si,1,1,      056002501
560,25,1,1,8.0,,2,2,      056002501
560,42,1,0,6.0,no,1,5,      056004201
563,46,1,0,6.0,,1,1,      056304601
564,36,1,1,0.0,si,1,1,      056403601
564,36,1,1,0.0,,2,2,      056403601
565,26,1,2,3.0,,1,1,      056502601
565,27,1,0,0.0,,1,1,      056502701
568,134,1,0,2.0,,1,1,      056813401
569,56,1,0,10.0,,1,1,      056905601
574,144,1,0,3.0,si,1,1,      057414401
574,144,1,0,3.0,,2,2,      057414401
582,34,1,1,2.0,,1,1,      058203401
614,65,1,0,8.0,no,1,8,      061406501
621,31,1,2,0.0,,1,3,      062103101
623,37,1,0,8.0,,1,1,      062303701
624,31,1,1,5.0,no,1,1,      062403101
624,33,1,0,6.0,,1,1,      062403301
634,55,1,0,6.0,,1,8,      063405501
638,2,1,1,0.0,no,1,8,      063800201
643,40,1,0,3.0,,1,4,      064304001
649,24,1,1,0.0,,1,4,      064902401
649,57,1,1,0.0,,1,5,      064905701
649,68,1,0,6.0,no,1,2,      064906801
650,59,1,1,0.0,,1,3,      065005901
652,18,1,0,2.0,,1,1,      065201801
652,35,1,0,1.0,,1,4,      065203501
652,68,1,0,6.0,,1,1,      065206801
653,20,1,1,3.0,si,1,1,      065302001
653,20,1,1,3.0,,2,2,      065302001
653,32,1,0,2.0,,1,1,      065303201
656,85,1,2,7.0,,1,1,      065608501
657,126,1,1,2.0,,1,4,      065712601
659,42,1,0,3.0,no,1,2,      065904201
663,33,1,0,2.0,,1,1,      066303301
663,76,1,0,9.0,,1,1,      066307601
666,18,1,1,6.0,,1,1,      066601801
668,59,1,0,2.0,,1,2,      066805901
671,45,1,1,0.0,,1,1,      067104501
671,48,1,3,0.0,,1,1,      067104801
673,34,1,3,0.0,,1,1,      067303401
675,6,1,3,2.0,si,1,1,      067500601
675,6,1,2,0.0,,2,2,      067500601
675,26,1,1,0.0,si,1,1,      067502601
675,26,1,0,7.0,,2,2,      067502601
677,86,1,0,6.0,,1,4,      067708601
678,15,1,1,0.0,,1,1,      067801501
679,30,1,0,6.0,,1,1,      067903001
679,32,1,1,0.0,,1,4,      067903201
680,66,1,4,0.0,,1,1,      068006601
681,25,1,0,8.0,,1,1,      068102501
681,56,1,3,0.0,no,1,2,      068105601
681,60,1,0,3.0,si,1,1,      068106001
681,60,1,0,1.0,,2,2,      068106001
683,1,1,0,8.0,,1,1,      068300101
706,6,1,1,0.0,,1,1,      070600601
709,78,1,2,0.0,,1,1,      070907801
717,73,1,1,0.0,,1,1,      071707301
721,68,1,0,3.0,,1,1,      072106801
724,37,1,2,0.0,,1,1,      072403701
728,2,1,0,2.0,,1,1,      072800201
733,51,1,0,2.0,,1,1,      073305101
736,1,1,0,6.0,,1,1,      073600101
736,5,1,1,0.0,,1,1,      073600501
737,12,1,0,4.0,,1,1,      073701201
737,15,1,1,0.0,,1,1,      073701501
737,72,1,1,6.0,,1,1,      073707201
737,75,1,0,3.0,,1,1,      073707501
738,67,1,1,0.0,,1,1,      073806701
738,98,1,1,0.0,,1,1,      073809801
738,103,1,0,1.0,si,1,1,      073810301
738,103,1,0,1.0,,2,2,      073810301
739,86,1,0,8.0,,1,1,      073908601
741,7,1,0,6.0,,1,1,      074100701
741,31,1,0,8.0,,1,1,      074103101
742,123,1,0,2.0,si,1,9,      074212301
742,123,1,1,0.0,no,2,10,      074212301
744,37,1,0,5.0,si,1,1,      074403701
744,37,1,0,5.0,,2,2,      074403701
748,2,1,0,10.0,no,1,7,      074800201
748,3,1,0,6.0,,1,1,      074800301
763,28,1,0,6.0,,1,1,      076302801
764,110,1,0,9.0,no,1,5,      076411001
774,10,1,0,6.0,no,1,2,      077401001
775,75,1,0,4.0,si,1,1,      077507501
775,75,1,0,4.0,,2,2,      077507501
780,54,1,0,6.0,,1,2,      078005401
786,28,1,0,6.0,,1,1,      078602801
787,89,1,1,0.0,si,1,1,      078708901
787,89,1,0,6.0,,2,2,      078708901
790,46,1,0,8.0,,1,4,      079004601
800,62,1,3,0.0,,1,1,      080006201
800,63,1,1,0.0,no,1,1,      080006301
802,13,1,0,11.0,,1,1,      080201301
802,15,1,0,10.0,,1,5,      080201501
802,19,1,no sabe,,no,1,2,      080201901
810,94,1,0,10.0,,1,4,      081009401
834,138,1,1,2.0,no,1,5,      083413801
852,19,1,0,1.0,,1,6,      085201901
877,16,1,0,3.0,,1,1,      087701601
907,89,1,0,5.0,,1,1,      090708901
934,50,1,0,10.0,,1,1,      093405001
938,91,1,0,6.0,,1,7,      093809101
939,3,1,0,5.0,no,1,1,      093900301
947,24,1,0,8.0,,1,5,      094702401
948,16,1,no sabe,,,1,1,      094801601
987,26,1,1,5.0,,1,7,      098702601
992,2,1,1,6.0,no,1,2,      099200201
992,6,1,2,10.0,,1,1,      099200601
995,5,1,1,0.0,,1,1,      099500501
996,66,1,1,0.0,si,1,1,      099606601
996,66,1,1,0.0,,2,2,      099606601
997,8,1,1,0.0,no,1,2,      099700801
997,18,1,2,0.0,,1,5,      099701801
1001,39,1,0,3.0,,1,1,      100103901
1002,87,1,0,6.0,no,1,1,      100208701
1007,53,1,0,3.0,,1,1,      100705301
1008,58,1,0,6.0,,1,4,      100805801
1009,59,1,0,4.0,,1,1,      100905901
1010,55,1,0,3.0,,1,1,      101005501
1014,93,1,1,0.0,,1,3,      101409301
1021,35,1,0,1.0,no,1,1,      102103501
1021,38,1,0,1.0,si,1,1,      102103801
1021,38,1,0,1.0,,2,2,      102103801
1022,159,1,1,0.0,,1,1,      102215901
1026,51,1,1,1.0,no,1,2,      102605101
1026,139,1,0,2.0,no,1,2,      102613901
1027,71,1,0,1.0,,1,5,      102707101
1030,20,1,0,1.0,,1,1,      103002001
1031,40,1,0,8.0,,1,7,      103104001
1033,12,1,0,2.0,,1,1,      103301201
