HHID,SH81A,SH81B,SH81C,SH81D,SH81E,SH81F,SH81G
"002302701",0,0,0,0,1,1,0
"002302801",0,0,0,0,0,0,0
"002302901",0,0,0,0,0,0,0
"002303001",0,0,0,0,0,0,0
"002303101",0,0,0,0,0,0,0
"002303201",0,0,0,0,0,0,0
"002306501",0,0,0,0,0,0,0
"002306601",0,0,0,0,0,0,0
"002306701",0,0,0,0,0,0,0
"002307001",0,0,0,0,0,0,0
"002307101",0,0,0,0,0,0,0
"002307201",0,1,0,0,0,0,0
"002307301",1,0,0,0,0,0,0
"002307401",0,0,0,0,0,0,0
"002309701",0,0,0,0,0,0,0
"002309801",0,0,0,0,0,0,0
"002309901",0,0,0,0,0,0,0
"002310001",0,0,0,0,0,0,0
"002310101",0,0,0,0,0,0,0
"002310201",0,0,0,0,0,0,0
"002310301",0,0,0,0,0,0,0
"002310401",0,0,0,0,0,0,0
"002400901",0,0,0,0,0,0,0
"002401001",0,0,0,0,0,0,0
"002401101",0,0,0,0,0,0,0
"002401201",0,0,0,0,0,0,0
"002401301",1,0,0,0,0,0,0
"002401401",0,0,0,0,0,0,0
"002401501",0,0,0,0,0,0,0
"002401601",0,0,0,0,0,0,0
"002403401",0,0,0,0,0,0,0
"002403501",0,0,0,0,0,0,0
"002403601",1,1,0,0,1,0,0
"002403701",1,0,0,0,0,0,0
"002403801",0,0,0,0,0,0,0
"002403901",0,0,0,0,0,0,0
"002404001",1,1,0,0,0,0,0
"002404101",0,0,0,0,0,0,0
"002405001",0,0,0,0,0,0,0
"002405101",0,0,0,0,0,0,0
"002405301",1,0,0,1,0,0,0
"002405302",1,0,0,0,0,0,0
"002405401",0,0,0,0,0,0,0
"002405501",0,0,0,0,0,0,0
"002405601",1,0,0,0,0,0,0
"002405701",0,0,0,0,0,0,0
"002500301",0,0,0,0,0,0,0
"002501501",0,0,0,0,0,0,0
"002502701",0,0,0,0,0,0,1
"002503901",0,0,0,0,0,0,0
"002505201",0,0,0,0,0,0,0
"002506401",0,0,0,0,0,0,0
"002507601",0,0,0,0,0,0,0
"002508801",1,0,0,0,0,0,0
"002510001",0,0,0,0,0,0,0
"002511201",0,0,0,0,0,0,0
"002512401",0,0,0,0,0,0,0
"002513601",0,0,0,0,0,0,0
"002514901",0,0,0,0,0,0,0
"002516101",0,0,1,0,0,0,0
"002517301",0,0,1,0,0,0,0
"002601001",0,0,0,0,0,0,0
"002602201",0,1,0,0,0,0,0
"002603201",0,0,1,0,0,0,0
"002604301",0,0,0,0,1,0,0
"002605301",0,0,0,0,0,0,0
"002606201",0,1,0,0,0,0,0
"002607301",0,0,0,0,0,0,0
"002608001",0,0,0,0,0,0,0
"002609001",0,0,0,1,1,1,0
"002610101",1,0,0,1,0,0,0
"002611301",0,0,0,0,0,0,0
"002612301",0,0,0,0,0,0,0
"002613401",0,0,0,0,0,0,0
"002615301",0,0,0,0,0,0,0
"002700101",0,0,0,0,0,0,0
"002700901",0,0,0,1,0,0,0
"002701801",0,0,0,0,0,0,0
"002702601",0,0,0,0,0,0,0
"002703501",0,0,0,0,0,0,0
"002704401",1,0,0,0,0,0,0
"002705201",0,0,0,0,0,0,0
"002706001",0,0,0,0,0,0,0
"002706901",0,0,0,0,0,0,0
"002707601",0,0,0,0,0,0,0
"002708401",0,0,0,1,0,0,0
"002709301",0,0,0,0,0,0,0
"002710101",0,0,0,0,0,0,0
"002710901",1,0,1,1,1,0,0
"002711801",0,0,0,0,0,0,0
"002800901",0,0,0,0,0,0,0
"002801001",0,0,0,0,0,0,0
"002801101",0,0,0,0,0,0,0
"002801201",0,0,0,0,0,0,0
"002801301",0,0,0,0,0,0,0
"002801401",0,0,0,0,0,0,0
"002801501",0,0,0,0,0,0,0
"002801601",1,0,0,0,0,0,0
"002803301",0,0,0,0,0,0,0
"002803601",0,0,0,0,0,0,0
"002803701",0,0,0,0,0,0,0
"002803801",0,0,0,0,0,0,0
"002803901",0,0,0,0,0,0,0
"002804001",0,0,0,0,0,0,0
"002806501",1,0,0,0,0,0,0
"002806601",0,0,0,0,0,0,0
"002806701",0,0,0,0,0,0,0
"002806801",0,0,0,0,0,0,0
"002806901",0,0,0,0,0,0,0
"002807001",0,0,0,1,0,0,0
"002807101",0,0,0,0,0,0,0
"002807201",0,0,0,0,0,0,0
"002901001",0,0,0,0,0,0,0
"002901101",0,0,0,0,0,0,0
"002901201",0,0,0,0,0,0,0
"002901301",0,1,0,0,0,0,0
"002901401",0,0,0,0,0,0,0
"002901501",0,0,0,0,0,0,0
"002901601",0,1,0,1,0,0,0
"002903301",0,0,0,0,0,0,0
"002903401",0,0,0,0,0,0,0
"002903501",0,0,0,0,0,0,0
"002903601",1,0,0,0,0,0,0
"002903701",1,1,0,0,0,0,0
"002903801",0,0,0,0,0,0,0
"002903901",0,0,0,0,0,0,0
"002904701",0,0,0,0,0,0,0
"002904801",0,0,0,0,0,0,0
"002904901",0,1,1,0,0,0,0
"002905001",0,0,0,0,0,0,0
"002905101",0,0,0,0,0,0,0
"002905201",0,0,0,1,0,0,0
"002905301",0,0,0,0,0,0,0
"003000101",0,0,0,1,0,1,0
"003000201",0,0,0,0,0,0,0
"003000301",0,0,0,0,0,0,0
"003000401",1,0,0,0,0,0,0
"003000501",0,0,0,0,0,0,0
"003000601",1,0,0,0,0,0,0
"003000701",0,0,0,0,0,0,0
"003000801",0,0,0,0,0,0,0
"003002601",0,0,0,0,0,0,0
"003002701",0,0,0,1,0,0,0
"003002801",0,0,0,0,0,0,0
"003003001",0,0,0,0,0,0,0
"003003101",1,1,0,0,1,1,0
"003003201",0,0,0,0,0,0,0
"003003301",1,0,0,0,0,0,0
"003004301",0,0,0,0,0,0,0
"003004401",0,0,0,0,1,0,0
"003004501",0,0,0,0,0,0,0
"003004601",0,1,0,0,0,0,0
"003004701",0,0,0,0,0,0,0
"003004801",0,0,0,0,1,0,0
"003004901",1,1,0,0,0,0,0
"003005001",0,0,0,0,0,0,0
"003100201",0,0,0,0,0,0,0
"003100601",0,0,0,0,0,0,0
"003101001",0,0,0,0,0,0,0
"003101401",0,0,0,0,0,0,0
"003101901",0,0,0,0,0,0,0
"003102301",0,0,0,0,0,0,0
"003102701",0,0,0,0,0,0,0
"003103101",0,0,0,0,0,0,0
"003103501",1,0,0,0,0,0,0
"003103901",0,0,0,0,0,0,0
"003104301",0,0,0,0,0,0,0
"003104701",1,1,0,0,0,0,0
"003105301",0,1,0,0,0,0,0
"003105601",0,0,0,0,0,0,0
"003106001",0,1,0,0,0,0,0
"003106401",0,0,0,0,0,0,0
"003106801",0,0,0,0,0,0,0
"003107201",0,0,0,0,0,0,0
"003108001",0,0,0,0,0,0,0
"003108501",1,0,0,1,1,1,0
"003108801",0,0,0,0,0,0,0
"003109201",0,0,0,0,0,0,0
"003109601",0,0,0,0,0,0,0
"003200901",0,0,0,0,0,0,0
"003201801",0,0,0,0,0,0,0
"003202801",0,0,0,0,1,0,0
"003203701",1,0,0,0,0,0,0
"003204601",1,1,0,0,0,0,0
"003205501",0,0,0,0,0,0,0
"003206501",1,0,0,0,0,0,0
"003207401",0,0,0,0,0,0,0
"003208301",0,0,0,0,0,0,0
"003210201",0,0,0,0,0,0,0
"003211101",0,0,0,0,0,0,0
"003212901",1,0,0,0,0,0,0
"003213901",0,0,0,0,0,0,0
"003214801",0,0,0,0,0,0,1
"003215701",0,0,0,0,0,1,0
"003216601",0,0,0,0,0,0,0
"003217601",1,1,0,0,0,0,0
"003218501",0,0,0,0,0,0,0
"003219401",0,0,0,0,0,0,0
"003220301",0,0,0,0,0,1,0
"003221301",0,0,0,0,0,0,0
"003222201",0,1,0,0,1,1,0
"003301801",0,0,0,0,0,0,0
"003301901",0,0,0,1,0,0,0
"003302001",0,0,1,1,0,1,0
"003302101",0,0,0,0,0,0,0
"003302201",0,0,0,0,0,0,0
"003302301",0,0,0,0,0,0,0
"003302401",0,0,0,0,0,0,0
"003306501",0,0,0,0,0,0,0
"003306601",0,0,0,0,0,0,0
"003306701",0,0,0,0,0,0,0
"003306801",0,0,0,0,0,0,0
"003306901",1,0,0,0,0,0,0
"003307001",1,0,0,0,0,0,0
"003307101",0,0,0,0,0,0,0
"003307201",0,0,0,0,0,0,0
"003310501",0,0,0,0,0,0,0
"003310601",1,0,0,0,0,0,0
"003310701",0,0,0,0,0,0,0
"003310801",0,0,0,0,0,0,0
"003310901",0,0,0,0,0,0,0
"003311001",1,0,0,0,0,0,0
"003311101",0,0,0,0,0,0,0
"003311201",0,0,0,0,0,0,0
"003400501",0,0,0,1,0,0,0
"003401001",0,0,0,0,0,0,0
"003401501",0,0,1,1,0,0,0
"003402001",1,0,1,1,1,0,0
"003402501",0,0,1,1,0,0,0
"003403001",0,0,1,1,0,0,0
"003403601",0,0,0,0,0,0,0
"003404101",0,0,0,0,0,0,0
"003404601",1,0,0,0,0,0,0
"003405101",1,0,0,0,0,0,0
"003405601",0,0,0,0,0,0,0
