ID1,HHID,NRO_ORDEN,QH30M,QH31M,QH32M_M,QH32M_Y,QH33M
2019,"060702701",2,2,0,3,2019,nan
2019,"060713101",1,1,16,2,2014,nan
2019,"060815201",1,1,74,1,2015,nan
2019,"060816901",1,1,16,5,2019,nan
2019,"060912201",1,2,74,1,2018,nan
2019,"061005801",1,1,63,2,2016,nan
2019,"061201701",1,1,93,2,2018,nan
2019,"061203601",1,2,63,4,2015,nan
2019,"061204301",1,1,58,5,2018,nan
2019,"061209002",1,1,0,9,2014,nan
2019,"061209002",2,1,0,3,2018,nan
2019,"061213701",1,1,78,2,2015,nan
2019,"061311201",1,1,59,3,2018,nan
2019,"061414701",1,2,88,2,2014,nan
2019,"061500401",1,1,74,1,2014,nan
2019,"061901101",1,1,0,4,2019,nan
2019,"061906701",1,1,74,7,2017,nan
2019,"062107601",1,1,68,3,2019,nan
2019,"062213601",1,2,78,1,2016,nan
2019,"062611001",1,2,96,6,2015,nan
2019,"062707001",1,1,78,8,2017,nan
2019,"062708501",1,1,0,2,2017,nan
2019,"062805301",1,1,80,3,2015,nan
2019,"062908601",1,2,64,4,2018,nan
2019,"063006501",1,1,78,12,2017,nan
2019,"063205501",1,1,0,6,2014,nan
2019,"063205501",2,1,64,3,2016,nan
2019,"063905001",1,1,90,10,2014,nan
2019,"063908701",1,1,59,10,2018,nan
2019,"064000301",1,2,86,3,2014,nan
2019,"064202301",1,2,83,4,2017,nan
2019,"064401901",1,2,93,4,2016,nan
2019,"064412801",1,2,58,8,2015,nan
2019,"064500901",1,1,87,7,2018,nan
2019,"064708601",1,2,74,12,2017,nan
2019,"064811801",1,2,65,6,2017,nan
2019,"065216001",1,1,28,9,2015,nan
2019,"065410301",1,2,79,10,2017,nan
2019,"065501201",1,1,12,5,2016,nan
2019,"065501801",1,2,55,1,2018,nan
2019,"065507801",1,2,42,3,2016,4
2019,"065801701",1,2,77,6,2018,nan
2019,"065916301",1,2,65,1,2014,nan
2019,"066114001",1,2,82,4,2017,nan
2019,"066203501",1,1,56,1,2015,nan
2019,"066301801",1,1,75,8,2015,nan
2019,"066610501",1,2,1,9,2014,nan
2019,"066616601",1,2,10,12,2015,nan
2019,"066812601",1,1,67,12,2018,nan
2019,"067005801",1,2,80,6,2018,nan
2019,"067100101",1,1,75,8,2016,nan
2019,"067100601",1,2,94,10,2014,nan
2019,"067206601",1,1,70,7,2014,nan
2019,"067407101",1,1,80,11,2015,nan
2019,"067710901",1,1,78,9,2017,nan
2019,"067711801",1,1,29,3,2015,nan
2019,"067814901",1,1,60,8,2017,nan
2019,"067908501",1,1,96,2,2014,nan
2019,"068311001",1,2,95,5,2016,nan
2019,"068500101",1,1,16,12,2014,nan
2019,"068501801",1,2,86,9,2014,nan
2019,"068604401",1,2,80,2,2015,nan
2019,"068604401",2,1,82,2,2016,nan
2019,"068605401",1,2,45,12,2018,4
2019,"068605901",1,1,69,3,2014,nan
2019,"068608301",1,2,85,5,2019,nan
2019,"068904601",1,2,27,4,2017,2
2019,"068904701",1,1,72,6,2015,nan
2019,"069000401",1,2,56,5,2015,nan
2019,"069106701",1,1,62,12,2015,nan
2019,"069210301",1,2,100,1,2019,nan
2019,"069309201",1,1,82,6,2016,nan
2019,"069314701",1,1,17,11,2018,nan
2019,"069503101",1,2,45,12,2014,4
2019,"069508201",1,2,96,10,2016,nan
2019,"069814601",1,1,79,2,2018,nan
2019,"069900801",1,1,79,5,2019,nan
2019,"070005901",1,1,60,11,2017,nan
2019,"070414601",1,1,88,2,2019,nan
2019,"070414701",1,2,94,10,2018,nan
2019,"070509201",1,1,78,12,2018,nan
2019,"070709401",1,2,25,3,2014,4
2019,"070902701",1,2,57,6,2015,nan
2019,"071201301",1,2,75,11,2017,nan
2019,"071216501",1,2,64,8,2015,nan
2019,"071217101",1,2,60,5,2016,nan
2019,"071303501",1,2,71,4,2016,nan
2019,"071404001",1,2,8,4,2014,nan
2019,"071614001",1,1,65,8,2015,nan
2019,"071804601",1,2,68,5,2018,nan
2019,"071905301",1,1,98,6,2016,nan
2019,"071910801",1,2,86,4,2019,nan
2019,"072112901",1,1,79,7,2017,nan
2019,"072304401",1,2,63,2,2015,nan
2019,"072406601",1,1,74,7,2016,nan
2019,"072406601",2,2,73,12,2018,nan
2019,"072418801",1,1,81,6,2015,nan
2019,"072619301",1,2,3,3,2016,nan
2019,"072713201",1,2,91,4,2015,nan
2019,"072802801",1,1,80,4,2017,nan
2019,"072802801",2,2,0,10,2018,nan
2019,"072806701",1,2,25,7,2014,4
